Name_Character_Long 你的角色名称太长了。
Name_Character_Invalid 你的角色名称包含无效的字母。
Name_Character_Number 你的角色名称不能只是一个数字。
Timed_Out 这个服务器失去了你的连接。
Map 这个服务器正在运行一个你没有的地图。
Shutdown 该服务器已被关闭。
Shutdown_Reason 该服务器已被关闭，因为：{0}
PingV2 你的延迟太高了！（{0}ms），超出了服务器的最大延迟限制（{1}ms）
Plugin 这个服务器正在运行一个插件，它禁止你的账户进入此服务器。
Plugin_Reason 插件: {0}
Barricade 你的文件缺少一个该服务器正在使用的自定义障碍物(barricade)文件（{0}）。
Structure 你的文件缺少一个该服务器正在使用的自定义结构(structure)文件（{0}）。
Vehicle 你的文件缺少一个该服务器正在使用的自定义载具(vehicle)文件（{0}）。
Client_Module_Desync 这个服务器缺少一个你的文件正在使用的自定义模组。
Server_Module_Desync 你的文件缺少该服务器正在使用的一个自定义模组。
BattlEye_Broken BattlEye: 服务没有安装或没有正常运行，请从启动器中重新启动。如果你卸载了BattlEye或者跳过了安装步骤，那么你可以通过运行Unturned/BattlEye文件夹中的Install_BattlEye.bat脚本来重新安装它。
BattlEye_Update BattlEye: 服务需要更新，请重启Steam。
BattlEye_Unknown BattlEye: 未知请求，请重启Steam。
Level_Version This server has {1} version {0} installed, whereas you have version {2}.
Econ_Hash This server is running a different inventory version.
Master_Bundle_Hash Asset bundle error: {0}
Failure_Unknown 未知故障：{0} 原因：{1}。
Reject_Unknown 因不明原因被拒绝：{0}。
Workshop_Download_Restriction Server was not authorized by the creators of {0} workshop item(s) to use their content.
Workshop_Advertisement_Mismatch Server was listed without workshop items, but requested workshop downloads.
Late_Pending_Steam_Auth The game server did not receive a response from the Steam authentication servers.
Late_Pending_Steam_Econ The game server did not receive a response from the Steam economy servers.
Late_Pending_Steam_Groups The game server did not receive a response from the Steam groups servers.
Name_Private_Long Your friends-only private nickname is too long.
Name_Private_Invalid Your friends-only private nickname contains invalid letters.
Name_Private_Number Your friends-only private nickname cannot be just a number.

SteamNetworkingSockets_Unavailable_CannotTry 无法初始化Steam网络认证。
SteamNetworkingSockets_Unavailable_Failed 初始化Steam网络认证失败。
SteamNetworkingSockets_Unavailable_Previously 暂时无法初始化Steam网络认证。
SteamNetworkingSockets_EndReason_App_1001 所有玩家位置、队列位置和待连接位置都已满。
SteamNetworkingSockets_EndReason_App_1002 服务器正在关闭过程中。
SteamNetworkingSockets_EndReason_App_Unknown 游戏因未知原因结束连接：{0}
SteamNetworkingSockets_EndReason_AppException_Generic Game ended the connection in an unusual manner.
SteamNetworkingSockets_EndReason_AppException_Unknown 游戏因特殊的未知原因结束连接：{0}
SteamNetworkingSockets_EndReason_Local_OfflineMode 在离线模式下运行时无法连接。
SteamNetworkingSockets_EndReason_Local_RelayConnectivity 无法连接到Steam中继网络。
SteamNetworkingSockets_EndReason_Local_NetworkConfig 无法检索到Steam网络配置。
SteamNetworkingSockets_EndReason_Local_Rights 由于权限不足，被Steam拒绝了。
SteamNetworkingSockets_EndReason_Local_Unknown 未知的本地连接错误：{0}
SteamNetworkingSockets_EndReason_Remote_Timeout 与主机失去连接。
SteamNetworkingSockets_EndReason_Remote_BadCrypt 无法与主机建立加密。
SteamNetworkingSockets_EndReason_Remote_BadCert 无法信任主机加密证书。
SteamNetworkingSockets_EndReason_Remote_BadProtocolVersion 主机正在运行不同的Steam网络协议。
SteamNetworkingSockets_EndReason_Remote_Unknown 未知的远程连接错误：{0}
SteamNetworkingSockets_EndReason_Misc_InternalError Steam nerwork内部错误。
SteamNetworkingSockets_EndReason_Misc_Timeout 与主机或Steam网络失去连接。
SteamNetworkingSockets_EndReason_Misc_SteamConnectivity Steam遇到了连接问题。
SteamNetworkingSockets_EndReason_Misc_Unknown 未知的杂项连接错误：{0}
SteamNetworkingSockets_EndReason_Unknown 连接因未知原因结束：{0}

Pro_Title Permanent Gold Upgrade
Pro_Button Gain access to extra character customization, premium servers, character slots and more by upgrading to a Gold account! Further details available on the store page.
Pro_Button_Tooltip Click here to view the store page.

BattlEye_Header Warning: BattlEye(战眼) 已被禁用！
BattlEye_Body BattlEye反作弊系统没有运行，所以你不能加入被BattlEye反作弊保护的服务器。如果你卸载了BattlEye或者跳过了安装步骤，那么你可以通过运行Unturned/BattlEye文件夹中的Install_BattlEye.bat脚本来重新安装它。

Overlay Steam 游戏内置界面未被开启 [请使用Steam启动游戏]
Dismiss_Notification_Label 确定
Dismiss_Notification_Tooltip 关闭通知
